producer,consumer,cycles
VADDS.fp32,VADDS.fp32,3
VADDS.fp32,VMULS.fp32,3
VADDS.fp32,VADD.fp32,3
VADDS.fp32,VEXP.fp32,4
VADDS.fp32,VDIV.fp32,4
VADDS.fp32,VABS.fp32,4
VADDS.fp32,VSUB.fp32,3
VADDS.fp32,VMUL.fp32,3
VADDS.fp32,VMAXS.fp32,3
VADDS.fp32,VMINS.fp32,3
VADDS.fp32,VMAX.fp32,3
VADDS.fp32,VMIN.fp32,3
VADDS.fp32,VCMAX.fp32,3
VADDS.fp32,VCMIN.fp32,3
VADDS.fp32,VDUP.fp32,4
VADDS.fp32,VSTS.fp32,5
VADDS.fp32,VAND.fp32,3
VADDS.fp32,VCGMAX.fp32,3
VADDS.fp32,VCMP_EQ.fp32,3
VADDS.fp32,VSEL.fp32,5
VADDS.fp32,VSHLS.fp32,3
VADDS.fp32,VSHRS.fp32,3
VADDS.fp32,VCVT_F32_TO_F16.f32_to_f16,3
VADDS.fp32,VCVT_F32_TO_S32.f32_to_s32,3
VMULS.fp32,VADDS.fp32,4
VMULS.fp32,VMULS.fp32,4
VMULS.fp32,VADD.fp32,4
VMULS.fp32,VEXP.fp32,5
VMULS.fp32,VDIV.fp32,5
VMULS.fp32,VABS.fp32,5
VMULS.fp32,VSUB.fp32,4
VMULS.fp32,VMUL.fp32,4
VMULS.fp32,VMAXS.fp32,4
VMULS.fp32,VMINS.fp32,4
VMULS.fp32,VMAX.fp32,4
VMULS.fp32,VMIN.fp32,4
VMULS.fp32,VCMAX.fp32,4
VMULS.fp32,VCMIN.fp32,4
VMULS.fp32,VDUP.fp32,5
VMULS.fp32,VSTS.fp32,6
VMULS.fp32,VCVT_F32_TO_F16.f32_to_f16,4
VMULS.fp32,VCVT_F32_TO_S32.f32_to_s32,4
VADD.fp32,VADDS.fp32,3
VADD.fp32,VMULS.fp32,3
VADD.fp32,VADD.fp32,3
VADD.fp32,VEXP.fp32,4
VADD.fp32,VDIV.fp32,4
VADD.fp32,VABS.fp32,4
VADD.fp32,VSUB.fp32,3
VADD.fp32,VMUL.fp32,3
VADD.fp32,VMAXS.fp32,3
VADD.fp32,VMINS.fp32,3
VADD.fp32,VMAX.fp32,3
VADD.fp32,VMIN.fp32,3
VADD.fp32,VCMAX.fp32,3
VADD.fp32,VCMIN.fp32,3
VADD.fp32,VDUP.fp32,4
VADD.fp32,VSTS.fp32,5
VADD.fp32,VAND.fp32,3
VADD.fp32,VCGMAX.fp32,3
VADD.fp32,VCMP_EQ.fp32,3
VADD.fp32,VSEL.fp32,5
VADD.fp32,VSHLS.fp32,3
VADD.fp32,VSHRS.fp32,3
VADD.fp32,VCVT_F32_TO_F16.f32_to_f16,3
VADD.fp32,VCVT_F32_TO_S32.f32_to_s32,3
VEXP.fp32,VADDS.fp32,13
VEXP.fp32,VMULS.fp32,13
VEXP.fp32,VADD.fp32,13
VEXP.fp32,VEXP.fp32,13
VEXP.fp32,VDIV.fp32,13
VEXP.fp32,VABS.fp32,13
VEXP.fp32,VSUB.fp32,13
VEXP.fp32,VMUL.fp32,13
VEXP.fp32,VMAXS.fp32,13
VEXP.fp32,VMINS.fp32,13
VEXP.fp32,VMAX.fp32,13
VEXP.fp32,VMIN.fp32,13
VEXP.fp32,VCMAX.fp32,13
VEXP.fp32,VCMIN.fp32,13
VEXP.fp32,VDUP.fp32,13
VEXP.fp32,VSTS.fp32,14
VEXP.fp32,VCVT_F32_TO_F16.f32_to_f16,13
VEXP.fp32,VCVT_F32_TO_S32.f32_to_s32,13
VDIV.fp32,VADDS.fp32,14
VDIV.fp32,VMULS.fp32,14
VDIV.fp32,VADD.fp32,14
VDIV.fp32,VEXP.fp32,14
VDIV.fp32,VDIV.fp32,14
VDIV.fp32,VABS.fp32,14
VDIV.fp32,VSUB.fp32,14
VDIV.fp32,VMUL.fp32,14
VDIV.fp32,VMAXS.fp32,14
VDIV.fp32,VMINS.fp32,14
VDIV.fp32,VMAX.fp32,14
VDIV.fp32,VMIN.fp32,14
VDIV.fp32,VCMAX.fp32,14
VDIV.fp32,VCMIN.fp32,14
VDIV.fp32,VDUP.fp32,14
VDIV.fp32,VSTS.fp32,15
VDIV.fp32,VCVT_F32_TO_F16.f32_to_f16,14
VDIV.fp32,VCVT_F32_TO_S32.f32_to_s32,14
VABS.fp32,VADDS.fp32,2
VABS.fp32,VMULS.fp32,2
VABS.fp32,VADD.fp32,2
VABS.fp32,VEXP.fp32,2
VABS.fp32,VDIV.fp32,2
VABS.fp32,VABS.fp32,2
VABS.fp32,VSUB.fp32,2
VABS.fp32,VMUL.fp32,2
VABS.fp32,VMAXS.fp32,2
VABS.fp32,VMINS.fp32,2
VABS.fp32,VMAX.fp32,2
VABS.fp32,VMIN.fp32,2
VABS.fp32,VCMAX.fp32,2
VABS.fp32,VCMIN.fp32,2
VABS.fp32,VDUP.fp32,2
VABS.fp32,VSTS.fp32,3
VABS.fp32,VCVT_F32_TO_F16.f32_to_f16,2
VABS.fp32,VCVT_F32_TO_S32.f32_to_s32,2
VSUB.fp32,VADDS.fp32,3
VSUB.fp32,VMULS.fp32,3
VSUB.fp32,VADD.fp32,3
VSUB.fp32,VEXP.fp32,4
VSUB.fp32,VDIV.fp32,4
