previous,current,cycles
VADDS.fp32,VADDS.fp32,1
VADDS.fp32,VMULS.fp32,1
VADDS.fp32,VADD.fp32,1
VADDS.fp32,VEXP.fp32,1
VADDS.fp32,VDIV.fp32,1
VADDS.fp32,VABS.fp32,1
VADDS.fp32,VSUB.fp32,1
VADDS.fp32,VMUL.fp32,1
VADDS.fp32,VMAXS.fp32,2
VADDS.fp32,VMINS.fp32,2
VADDS.fp32,VMAX.fp32,2
VADDS.fp32,VMIN.fp32,2
VADDS.fp32,VCMAX.fp32,1
VADDS.fp32,VCMIN.fp32,1
VADDS.fp32,VDUP.fp32,1
VADDS.fp32,VAND.fp32,2
VADDS.fp32,VCGMAX.fp32,2
VADDS.fp32,VCMP_EQ.fp32,2
VADDS.fp32,VSEL.fp32,2
VADDS.fp32,VSHLS.fp32,2
VADDS.fp32,VSHRS.fp32,2
VADDS.fp32,VCVT_F16_TO_F32.f16_to_f32,1
VADDS.fp32,VCVT_F32_TO_F16.f32_to_f16,1
VADDS.fp32,VCVT_F32_TO_S32.f32_to_s32,1
VADDS.fp32,VCVT_S32_TO_F32.s32_to_f32,1
VADDS.fp32,VBR.fp32,2
VMULS.fp32,VADDS.fp32,2
VMULS.fp32,VMULS.fp32,1
VMULS.fp32,VADD.fp32,2
VMULS.fp32,VEXP.fp32,1
VMULS.fp32,VDIV.fp32,1
VMULS.fp32,VABS.fp32,1
VMULS.fp32,VSUB.fp32,2
VMULS.fp32,VMUL.fp32,1
VMULS.fp32,VMAXS.fp32,1
VMULS.fp32,VMINS.fp32,1
VMULS.fp32,VMAX.fp32,1
VMULS.fp32,VMIN.fp32,1
VMULS.fp32,VCMAX.fp32,1
VMULS.fp32,VCMIN.fp32,1
VMULS.fp32,VDUP.fp32,1
VMULS.fp32,VCVT_F16_TO_F32.f16_to_f32,2
VMULS.fp32,VCVT_F32_TO_F16.f32_to_f16,2
VMULS.fp32,VCVT_F32_TO_S32.f32_to_s32,1
VMULS.fp32,VCVT_S32_TO_F32.s32_to_f32,1
VMULS.fp32,VBR.fp32,1
VADD.fp32,VADDS.fp32,1
VADD.fp32,VMULS.fp32,1
VADD.fp32,VADD.fp32,1
VADD.fp32,VEXP.fp32,1
VADD.fp32,VDIV.fp32,1
VADD.fp32,VABS.fp32,1
VADD.fp32,VSUB.fp32,1
VADD.fp32,VMUL.fp32,1
VADD.fp32,VMAXS.fp32,2
VADD.fp32,VMINS.fp32,2
VADD.fp32,VMAX.fp32,2
VADD.fp32,VMIN.fp32,2
VADD.fp32,VCMAX.fp32,1
VADD.fp32,VCMIN.fp32,1
VADD.fp32,VDUP.fp32,1
VADD.fp32,VAND.fp32,2
VADD.fp32,VCGMAX.fp32,2
VADD.fp32,VCMP_EQ.fp32,3
VADD.fp32,VSEL.fp32,2
VADD.fp32,VSHLS.fp32,2
VADD.fp32,VSHRS.fp32,2
VADD.fp32,VCVT_F16_TO_F32.f16_to_f32,1
VADD.fp32,VCVT_F32_TO_F16.f32_to_f16,1
VADD.fp32,VCVT_F32_TO_S32.f32_to_s32,1
VADD.fp32,VCVT_S32_TO_F32.s32_to_f32,1
VADD.fp32,VBR.fp32,2
VEXP.fp32,VADDS.fp32,1
VEXP.fp32,VMULS.fp32,1
VEXP.fp32,VADD.fp32,1
VEXP.fp32,VEXP.fp32,4
VEXP.fp32,VDIV.fp32,6
VEXP.fp32,VABS.fp32,1
VEXP.fp32,VSUB.fp32,1
VEXP.fp32,VMUL.fp32,1
VEXP.fp32,VMAXS.fp32,1
VEXP.fp32,VMINS.fp32,1
VEXP.fp32,VMAX.fp32,1
VEXP.fp32,VMIN.fp32,1
VEXP.fp32,VCMAX.fp32,1
VEXP.fp32,VCMIN.fp32,1
VEXP.fp32,VDUP.fp32,1
VEXP.fp32,VCVT_F16_TO_F32.f16_to_f32,1
VEXP.fp32,VCVT_F32_TO_F16.f32_to_f16,1
VEXP.fp32,VCVT_F32_TO_S32.f32_to_s32,1
VEXP.fp32,VCVT_S32_TO_F32.s32_to_f32,1
VEXP.fp32,VBR.fp32,1
VDIV.fp32,VADDS.fp32,1
VDIV.fp32,VMULS.fp32,1
VDIV.fp32,VADD.fp32,1
VDIV.fp32,VEXP.fp32,5
