op,form,pipeline_startup_cost,latency,throughput,pipeline_drain_cost,data_load_cost,data_store_cost,EXU,dispatch_exu,op_class
VADDS,fp32,6,7,1,5,9,9,ALU,EXU01,COMPUTE
VADDS,fp16,6,7,1,5,9,9,ALU,EXU01,COMPUTE
VEXP,fp32,6,16,4,14,9,9,SFU,EXU01,COMPUTE
VEXP,fp16,6,21,4,19,9,9,SFU,EXU01,COMPUTE
VADD,fp32,6,7,2,5,9,9,ALU,EXU01,COMPUTE
VADD,fp16,6,7,2,5,9,9,ALU,EXU01,COMPUTE
VMULS,fp32,6,8,1,6,9,9,ALU,EXU01,COMPUTE
VMULS,fp16,6,8,1,6,9,9,ALU,EXU01,COMPUTE
VDIV,fp32,6,17,4,15,9,9,SFU,EXU01,COMPUTE
VDIV,fp16,6,22,4,20,9,9,SFU,EXU01,COMPUTE
VABS,fp32,6,5,1,3,9,9,ALU,EXU01,COMPUTE
VABS,fp16,6,5,1,3,9,10,ALU,EXU01,COMPUTE
VSUB,fp32,6,7,2,5,9,9,ALU,EXU01,COMPUTE
VSUB,fp16,6,7,2,5,9,9,ALU,EXU01,COMPUTE
VMUL,fp32,6,8,2,6,9,9,ALU,EXU01,COMPUTE
VMUL,fp16,6,8,2,6,9,9,ALU,EXU01,COMPUTE
VMAXS,fp32,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VMAXS,fp16,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VMINS,fp32,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VMINS,fp16,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VMAX,fp32,6,6,2,4,9,9,ALU,EXU01,COMPUTE
VMAX,fp16,6,6,2,4,9,9,ALU,EXU01,COMPUTE
VMIN,fp32,6,6,2,4,9,9,ALU,EXU01,COMPUTE
VMIN,fp16,6,6,2,4,9,9,ALU,EXU01,COMPUTE
VCMAX,fp32,6,16,1,14,9,9,SFU,EXU0_ONLY,COMPUTE
VCMAX,fp16,6,17,1,15,9,9,SFU,EXU0_ONLY,COMPUTE
VCMIN,fp32,6,16,1,14,9,9,SFU,EXU0_ONLY,COMPUTE
VCMIN,fp16,6,17,1,15,9,9,SFU,EXU0_ONLY,COMPUTE
VCADD,fp32,6,22,1,20,9,9,SFU,EXU0_ONLY,COMPUTE
VCADD,fp16,6,24,1,22,9,9,SFU,EXU0_ONLY,COMPUTE
VLDS,fp32,0,9,1,0,9,0,,,LOAD
VLDS,fp16,0,9,1,0,9,0,,,LOAD
VSTS,fp32,0,9,1,0,0,9,,,STORE
VSTS,fp16,0,9,1,0,0,9,,,STORE
VDUP,fp32,2,6,1,4,9,9,ALU,EXU0_ONLY,COMPUTE
VDUP,fp16,2,6,1,4,9,9,ALU,EXU0_ONLY,COMPUTE
VAND,fp32,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VAND,fp16,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VCGMAX,fp32,6,13,1,11,9,9,ALU,EXU01,COMPUTE
VCGMAX,fp16,6,14,1,12,9,9,ALU,EXU01,COMPUTE
VCMP_EQ,fp32,6,6,1,6,9,9,ALU,EXU01,COMPUTE
VCMP_EQ,fp16,6,6,1,6,9,9,ALU,EXU01,COMPUTE
VCVT_F16_TO_F32,f16_to_f32,6,7,1,5,9,9,ALU,EXU01,COMPUTE
VCVT_F32_TO_F16,f32_to_f16,6,7,1,5,9,9,ALU,EXU01,COMPUTE
VCVT_F32_TO_S32,f32_to_s32,6,8,1,6,9,9,ALU,EXU01,COMPUTE
VCVT_S32_TO_F32,s32_to_f32,6,8,1,6,9,9,ALU,EXU01,COMPUTE
VSEL,fp32,8,6,1,4,9,9,ALU,EXU01,COMPUTE
VSEL,fp16,8,6,1,4,9,9,ALU,EXU01,COMPUTE
VSHLS,fp32,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VSHLS,fp16,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VSHRS,fp32,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VSHRS,fp16,6,6,1,4,9,9,ALU,EXU01,COMPUTE
VBR,fp32,0,6,1,4,0,9,ALU,EXU01,COMPUTE
VBR,fp16,0,6,1,4,0,9,ALU,EXU01,COMPUTE
